true_lengths,gen1_lengths
8.3907,8.554
3.02,3.0149
5.5395,5.4811
2.6201,3.3172
5.0252,5.4934
6.7644,5.5113
6.2965,6.3543
6.2965,6.3543
5.3056,4.8442
3.1152,3.0933
3.1152,3.0933
8.1186,8.0962
4.3772,4.4477
3.6518,3.6735
7.4635,7.154
3.0345,2.7111
3.0345,2.7111
7.2633,9.1765
8.8967,11.9414
8.8967,11.9414
8.8967,11.9414
3.9889,4.2433
4.8668,4.8491
11.997,10.7927
5.55,5.6544
10.0605,10.2772
2.9873,3.356
3.8366,3.9173
3.8366,3.9173
7.3893,7.2718
6.7665,6.7961
6.7665,6.7961
6.7665,6.7961
4.0975,4.1117
4.0975,4.1117
8.8334,8.8573
7.4725,7.4876
7.4725,7.4876
7.4725,7.4876
5.9798,6.0386
6.2162,6.3609
11.016,11.5932
7.2848,7.323
7.2848,7.323
7.2848,7.323
4.2467,4.1186
4.2467,4.1186
7.3427,7.8382
4.8037,4.6768
4.8037,4.6768
2.7694,2.7413
7.3487,7.3874
7.3487,7.3874
7.3487,7.3874
6.7488,6.8156
6.7488,6.8156
6.7488,6.8156
3.1864,3.1928
3.1864,3.1928
8.4507,8.6471
10.7024,10.8033
3.5121,3.4333
5.7642,6.0533
5.2883,5.1409
9.0623,9.204
10.3622,10.301
3.9343,3.9063
3.9343,3.9063
24.624,25.468
11.5917,11.0608
2.9269,2.855
5.5687,5.7911
7.4563,7.494
7.4563,7.494
7.4563,7.494
2.7932,2.8137
2.7932,2.8137
27.9334,27.7692
4.0225,4.2885
4.0225,4.2885
25.7489,20.6232
2.9509,2.9323
2.9509,2.9323
27.2091,26.9974
6.4541,6.4457
6.4541,6.4457
6.4541,6.4457
4.5286,3.1245
4.5286,3.1245
3.116,6.6674
5.5023,5.6232
5.9331,5.966
9.5609,9.5997
7.0527,7.1215
7.0527,7.1215
7.0527,7.1215
6.3619,4.5677
7.6238,4.7744
3.7468,8.6479
3.2938,3.2058
3.2938,3.2058
31.3754,32.2952
7.5041,7.5388
7.5041,7.5388
7.5041,7.5388
4.3103,4.2984
12.0662,11.8888
6.9782,6.9736
3.0466,2.7128
3.0466,2.7128
8.5331,9.8968
7.4412,7.4964
7.4412,7.4964
7.4412,7.4964
4.0138,4.6012
5.3439,5.3374
8.2399,7.1077
7.3263,7.2327
7.3263,7.2327
7.3263,7.2327
4.6176,4.6311
4.6176,4.6311
3.9338,3.9855
3.9447,3.9215
3.9447,3.9215
7.4564,7.4498
3.2979,3.4375
4.5086,4.4778
8.8446,8.5668
6.3936,6.383
6.3936,6.383
6.3936,6.383
3.6626,3.5786
3.6626,3.5786
31.4162,32.383
3.7719,3.8239
6.2209,6.2254
7.7155,7.603
7.1569,7.1502
7.1569,7.1502
7.1569,7.1502
6.4026,6.4093
6.4026,6.4093
6.4026,6.4093
7.0354,7.0665
7.0354,7.0665
7.0354,7.0665
4.4462,5.6937
5.3943,9.0822
8.4448,4.2545
6.4423,8.7665
7.2375,9.1554
13.9538,9.9188
2.6616,2.6177
4.1874,3.6538
4.6418,5.3141
2.9139,2.8765
2.9139,2.8765
6.6075,6.7999
9.9072,10.0253
9.9072,10.0253
5.1327,5.0499
6.968,7.0371
6.968,7.0371
6.968,7.0371
10.4756,10.4933
3.2351,3.1914
6.9466,6.8384
6.5681,6.5735
6.5681,6.5735
6.5681,6.5735
4.1337,4.1661
4.1337,4.1661
8.5731,8.6743
7.6316,7.6973
7.6316,7.6973
7.6316,7.6973
5.0836,5.0689
5.0836,5.0689
24.2046,24.0018
3.2023,2.9757
5.5412,5.5625
6.7444,6.2741
4.8909,4.9867
5.3894,5.2904
7.4853,7.4132
4.4151,4.3454
4.4151,4.3454
7.9032,7.9418
7.196,7.3048
7.196,7.3048
7.196,7.3048
6.3747,6.4553
6.3747,6.4553
6.3747,6.4553
4.8806,3.3891
4.8806,3.3891
3.855,8.0516
4.2623,3.6614
4.4551,4.7825
4.5827,4.8803
3.6958,3.6074
3.6958,3.6074
2.6425,2.6763
4.2805,4.1439
4.2805,4.1439
20.5531,20.9726
7.5006,7.5513
7.5006,7.5513
7.5006,7.5513
6.6212,5.8682
7.9319,8.1734
3.7242,4.1033
4.0176,3.7604
4.7246,4.9388
5.0334,5.1016
5.8096,5.7648
5.8096,5.7648
5.8096,5.7648
4.0563,4.0279
4.0563,4.0279
9.9593,9.9696
5.8728,5.8851
5.8728,5.8851
5.8728,5.8851
4.0767,4.0971
4.0767,4.0971
9.1593,9.0437
4.9676,4.8249
4.9676,4.8249
3.8797,4.5502
5.3194,5.3497
5.6277,5.6922
4.3863,4.4622
6.4237,6.41
6.4237,6.41
6.4237,6.41
3.9521,3.9974
3.9521,3.9974
8.4714,8.4639
4.7549,4.8168
8.2648,8.5887
4.5614,5.1995
3.1431,3.1748
4.3591,4.0613
5.7741,5.9583
3.9047,3.8769
3.9047,3.8769
8.2815,8.3745
4.8466,3.3489
4.3899,5.3502
5.8337,7.6279
9.7509,8.3874
14.4031,9.3837
16.7587,22.0041
3.1501,3.1162
3.5007,3.1766
7.8661,9.3216
9.6861,4.5358
7.8973,16.8285
9.7777,9.2627
6.02,5.9415
6.02,5.9415
6.02,5.9415
2.7051,2.7249
4.2047,4.0303
8.5528,8.8092
3.4087,3.4894
3.4087,3.4894
12.09,11.2949
7.5203,7.513
7.5203,7.513
7.5203,7.513
9.5733,9.8154
9.5733,9.8154
9.5733,9.8154
11.6417,12.055
3.6488,5.0662
6.325,5.3249
4.4617,4.7329
4.4617,4.7329
8.9103,8.0545
4.4641,4.0295
4.4641,4.0295
4.0905,5.821
4.5482,3.4238
4.5482,3.4238
6.1389,12.162
5.4417,5.4787
9.0198,8.8646
2.9086,2.9143
3.4346,14.4586
3.4346,14.4586
33.4292,3.2983
6.8377,6.8462
6.8377,6.8462
6.8377,6.8462
6.7691,6.7914
6.7691,6.7914
6.7691,6.7914
6.5664,7.0493
6.5664,7.0493
6.5664,7.0493
4.4234,4.8092
4.6496,5.2395
7.5879,5.9836
6.4954,6.5293
6.4954,6.5293
6.4954,6.5293
6.7746,6.7738
6.7746,6.7738
6.7746,6.7738
8.6671,8.6487
8.6671,8.6487
3.792,3.7012
4.9797,4.9579
4.9797,4.9579
3.8586,3.7992
3.9753,3.9212
3.9753,3.9212
9.2894,9.0644
11.8903,11.8246
11.8903,11.8246
11.8903,11.8246
4.5043,4.1678
6.0794,5.2106
4.3109,5.8565
2.8968,2.8747
4.1202,4.0416
8.0746,8.1075
5.6063,5.7048
7.1353,7.3132
3.189,2.9202
3.4298,3.3617
3.4298,3.3617
15.7297,14.8831
3.3329,3.2959
3.3329,3.2959
8.4428,8.5515
7.0469,7.0718
7.0469,7.0718
7.0469,7.0718
3.8355,3.8774
3.8355,3.8774
8.2787,8.1226
6.6485,6.6194
6.6485,6.6194
6.6485,6.6194
7.9945,7.9538
7.9945,7.9538
7.9945,7.9538
3.2324,5.7169
5.7725,5.7835
7.6884,6.1885
3.1369,3.1092
5.4725,5.6746
6.1511,6.0345
6.9077,7.4075
6.9077,7.4075
6.9077,7.4075
3.1396,3.1129
3.1396,3.1129
32.4677,32.4656
6.4854,6.4361
6.4854,6.4361
6.4854,6.4361
7.0674,7.1166
9.9896,10.0993
9.9926,10.0997
7.7803,7.8127
7.7803,7.8127
7.7803,7.8127
8.72,7.9199
12.9166,14.3335
9.7569,8.2547
8.8025,8.8802
2.8524,2.7787
4.4599,4.463
4.8003,4.4167
4.8003,4.4167
