,true_lengths,gen_lengths
0,8.3907,8.554
1,3.02,3.0449
2,5.5395,5.4811
3,2.6201,2.3672
4,5.0252,5.4934
5,6.7644,7.0113
6,6.2965,6.1543
7,6.2965,6.1543
8,5.3056,4.8442
9,3.1152,3.1133
10,3.1152,3.1133
11,8.1186,8.0962
12,4.3772,4.4477
13,3.6518,3.6732
14,7.4635,7.154
15,3.0345,2.6931
16,3.0345,2.6931
17,7.2633,8.3294
18,3.9889,3.8228
19,4.8668,5.1087
20,11.997,11.4681
21,3.8366,3.8904
22,3.8366,3.8904
23,7.3893,7.4359
24,6.7665,6.8079
25,6.7665,6.8079
26,6.7665,6.8079
27,4.0975,4.1626
28,4.0975,4.1626
29,8.8334,8.6445
30,7.4725,7.5278
31,7.4725,7.5278
32,7.4725,7.5278
33,5.9798,5.9493
34,6.2162,6.2336
35,11.016,10.7459
36,7.2848,7.2968
37,7.2848,7.2968
38,7.2848,7.2968
39,4.2467,4.2691
40,4.2467,4.2691
41,7.3427,7.2703
42,4.8037,4.7567
43,4.8037,4.7567
44,2.7694,2.7734
45,7.3487,7.3678
46,7.3487,7.3678
47,7.3487,7.3678
48,6.7488,6.7447
49,6.7488,6.7447
50,6.7488,6.7447
51,3.1864,3.1129
52,3.1864,3.1129
53,8.4507,8.9164
54,10.7024,10.9021
55,3.5121,3.421
56,5.7642,5.8965
57,5.2883,5.3414
58,9.0623,8.9426
59,10.3622,10.3955
60,3.9343,3.9313
61,3.9343,3.9313
62,24.624,24.9037
63,11.5917,11.474
64,2.9269,2.982
65,5.5687,5.5833
66,7.4563,7.4626
67,7.4563,7.4626
68,7.4563,7.4626
69,2.7932,2.8046
70,2.7932,2.8046
71,27.9334,27.8432
72,4.0225,4.0925
73,4.0225,4.0925
74,25.7489,23.1171
75,2.9509,2.9483
76,2.9509,2.9483
77,27.2091,27.1719
78,6.4541,6.4665
79,6.4541,6.4665
80,6.4541,6.4665
81,5.5023,5.3848
82,5.9331,5.8828
83,9.5609,9.3901
84,7.0527,7.0792
85,7.0527,7.0792
86,7.0527,7.0792
87,6.3619,6.5599
88,7.6238,7.566
89,3.7468,3.7224
90,3.2938,3.2893
91,3.2938,3.2893
92,31.3754,31.8032
93,7.5041,7.5214
94,7.5041,7.5214
95,7.5041,7.5214
96,4.3103,4.2185
97,12.0662,12.1421
98,6.9782,7.0614
99,3.0466,3.05
100,3.0466,3.05
101,8.5331,8.7225
102,7.4412,7.4128
